data_point;region;vac_interval_group;vaccine;ppv_18_59;ppv_60;ppv_total
2021.11_01-07-2022;Алтайский край;105_165_days;AllVaccines;0.10331395011507442;0.1097452367762249;0.10533922802244516
2021.11_01-07-2022;Алтайский край;105_165_days;CoviVac;0.0012941843898476634;0.0012236769212428911;0.0012719808672877878
2021.11_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;0.0034812431906238515;0.004177682096449584;0.0037005589207595667
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikLite;0.0004440196754707737;9.466841511048155e-05;0.00033400539266888527
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikV;0.09809450285913214;0.10424920934342195;0.10003268284172892
2021.11_01-07-2022;Алтайский край;165_195_days;AllVaccines;0.027916024678146172;0.07751064143110593;0.04353387642794206
2021.11_01-07-2022;Алтайский край;165_195_days;CoviVac;1.6116866623258572e-06;0.0;1.1041500584095381e-06
2021.11_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;0.0010911118703946054;0.0019827773609250856;0.001371906447573851
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikLite;4.835059986977572e-06;0.0;3.3124501752286144e-06
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikV;0.026818466061102265;0.07552786407018085;0.04215755338013458
2021.11_01-07-2022;Алтайский край;21_45_days;AllVaccines;0.023643443336320326;0.034739802107950045;0.027137800135589626
2021.11_01-07-2022;Алтайский край;21_45_days;CoviVac;0.00018695565282979943;0.0001069402466988773;0.00016175798355699732
2021.11_01-07-2022;Алтайский край;21_45_days;EpiVacCorona;0.00023208287937492346;0.00026296781975133763;0.00024180886279168883
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikLite;0.014395585267894556;0.023658338183628676;0.017312520840832353
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikV;0.008828819536221047;0.010711555857871152;0.009421712448408589
2021.11_01-07-2022;Алтайский край;45_75_days;AllVaccines;0.05446372737997769;0.04240969685069739;0.05066778995532609
2021.11_01-07-2022;Алтайский край;45_75_days;CoviVac;0.0008034258011694398;0.00017355876103588284;0.0006050742320084268
2021.11_01-07-2022;Алтайский край;45_75_days;EpiVacCorona;0.001139462470264381;0.0005680104906628893;0.0009595064007578886
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikLite;0.015946027837052033;0.01997152935071492;0.0172136994106047
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikV;0.03657481127149184;0.021696598248283697;0.03188950991195508
2021.11_01-07-2022;Алтайский край;75_90_days;AllVaccines;0.0592198147205013;0.022432908143587442;0.04763524181990429
2021.11_01-07-2022;Алтайский край;75_90_days;CoviVac;0.000914632180869924;0.00014726197906074907;0.0006729794606006135
2021.11_01-07-2022;Алтайский край;75_90_days;EpiVacCorona;0.0017776903885454206;0.0008187064788258312;0.0014756965530643477
2021.11_01-07-2022;Алтайский край;75_90_days;SputnikLite;0.01664711153516378;0.004109310463314236;0.012698829821768098
2021.11_01-07-2022;Алтайский край;75_90_days;SputnikV;0.039880380615922174;0.017357629222386626;0.03278773598447123
2021.11_01-07-2022;Алтайский край;90_105_days;AllVaccines;0.05326543834653842;0.024960905450796968;0.04435205162122353
2021.11_01-07-2022;Алтайский край;90_105_days;CoviVac;0.0003690762456726213;9.466841511048155e-05;0.00028266241495284177
2021.11_01-07-2022;Алтайский край;90_105_days;EpiVacCorona;0.00041742684554239704;0.00018758371142262083;0.00034504689325298065
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikLite;0.014414119664511305;0.0022597701310631615;0.010586590760030651
